Aerminute,Call Sign,Closest UPA,Code,County,Division,FAA Station Type,FAA's Station Telephone #,Location,State,Wban,#,Actual Local (meters),Actual Local Lat. (N),Actual Local Lon. (W),Corrected Local Lat. (N),Corrected Local Lon. (W),Distance To ABR,Distance To INL,Distance To MPX,FAA Lat. (N),FAA Lon. (W),Latitude,Longitude,NCDC (ASL) Elevation (feet),NCDC (ASL) Elevation (meters),NCDC DecDeg Lat. (N),NCDC DecDeg Lon. (W),NCDC ISHD Elevation (feet),NCDC ISHD Elevation (meters),NCDC ISHD Lat. (N),NCDC ISHD Lon. (W),Usaf,years,start_year,end_year
No,XVG,INL,KXVG,Cass,North Central,AWOS IIIP,218-363-3347,Longville,MN,4984,87,405,46.990671,-94.20214,NA,NA,4.482326389,1.764554459,2.233970688,46.9902,-94.204,46.990671,-94.20214,1334,406.6,46.983333,-94.2,1333.99,406.6,46.99,-94.2,727497,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FOZ,INL,KFOZ,Itasca,North Central,AWOS IIIP,218-743-3289,Bigfork,MN,4928,32,409,47.782728,-93.649041,NA,NA,5.302351329,0.818127006,2.934462053,47.7828,-93.6502,47.782728,-93.649041,1349,411.2,47.783333,-93.65,1349.1,411.2,47.783,-93.65,727468,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FGN,INL,KFGN,Lake of the Woods,North Central,AWOS IIIP,218-223-4023,Flag Island,MN,4926,30,324,49.318365,-94.90208,NA,NA,5.220266937,1.683585744,4.664619052,49.3183,-94.9028,49.318365,-94.90208,1080,329.2,49.316667,-94.9,1080.05,329.2,49.318,-94.9,727467,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ELO,INL,KELO,Saint Louis,Northeast,AWOS IIIP,218-365-3814,Ely,MN,94964,24,441,47.824724,-91.832975,NA,NA,6.993917562,1.729974669,3.442710607,47.8245,-91.8307,47.824724,-91.832975,1453.1,442.9,47.816667,-91.833333,1455.05,443.5,47.822,-91.818,727459,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,CQM,INL,KCQM,Saint Louis,Northeast,AWOS IIIP,218-666-2539,Cook,MN,54905,18,403,47.821498,-92.691503,NA,NA,6.191752123,1.023236337,3.097750621,47.8219,-92.6894,47.821498,-92.691503,1327,404.5,47.816667,-92.683333,1327.1,404.5,47.822,-92.689,726549,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,DYT,INL,KDYT,Saint Louis,NA,AWOS IIIP/T,218-720-4886,Duluth Sky Harbor,MN,4919,22,186,46.724503,-92.044483,NA,NA,6.494077601,2.281897176,2.414104708,46.7219,-92.0434,46.724503,-92.044483,610,185.9,46.716667,-92.05,609.908156,185.9,46.722,-92.034,727456,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,COQ,INL,KCOQ,Carlton,East Central,AWOS IIIP/T,218-879-0783,Cloquet,MN,4914,17,390,46.698575,-92.50345,NA,NA,6.039234527,2.066635624,2.132183416,46.7011,-92.5038,46.698575,-92.50345,NA,NA,NA,NA,1279.86,390.1,46.703,-92.5,726558,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,CKC,INL,KCKC,Cook,Northeast,AWOS IIIP/T,218-387-1971,Grand Marais Mun. Arpt,MN,4911,15,545,47.83701,-90.385766,NA,NA,8.373412612,3.098351514,4.362716867,47.8383,-90.3829,47.83701,-90.385766,1798,548,47.833333,-90.383333,1797.9,548,47.838,-90.368,727454,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,BFW,INL,KBFW,Lake,Northeast,AWOS IIIP/T,218-226-3537,Silver Bay,MN,4905,11,330,47.250625,-91.409184,NA,NA,7.230566082,2.382143066,3.226971232,47.249,-91.4156,47.250625,-91.409184,1089,331.9,47.25,-91.416667,1088.91,331.9,47.249,-91.401,727556,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,EVM,INL,KEVM,Saint Louis,Northeast,AWOS IIIP/T,218-744-2369,Eveleth,MN,4923,25,418,47.427375,-92.497255,NA,NA,6.236084279,1.44841737,2.790305648,47.4251,-92.4985,47.427375,-92.497255,1380.9,420.9,47.416667,-92.5,NA,NA,47.424,-92.485,727474,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ORB,INL,KORB,Saint Louis,Northeast,AWOS IIIP/T,218-757-3169,Orr,MN,4958,65,401,48.018403,-92.858067,NA,NA,6.118004103,0.76595777,3.246842142,48.0159,-92.8561,48.018403,-92.858067,1311,399.6,48.016667,-92.85,1311.02,399.6,48.016,-92.851,726544,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,HCO,INL,KHCO,Kittson,Northwest,AWOS IIIP/T,218-843-2415,Hallock,MN,4934,43,249,48.756061,-96.943239,48.7525,-96.9376,3.613210507,3.550344124,5.164647374,48.7527,-96.943,48.7525,-96.943239,819,249.6,48.75,-96.95,820.2099738000001,250,48.783,-96.95,727478,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FSE,INL,KFSE,Polk,Northwest,AWOS IIIP/T,218-435-6448,Fosston,MN,4929,35,387,47.593525,-95.770769,NA,NA,3.399211572,2.56238831,3.520655372,47.5928,-95.7735,47.593525,-95.770769,1273,388,47.6,-95.783333,1272.97,388,47.593,-95.768,727505,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,RRT,INL,KRRT,Roseau,Northwest,AWOS IIIP/T,218-386-1813,Warroad,MN,4971,76,326,48.941104,-95.344497,NA,NA,4.644103069,1.982946166,4.461826069,48.9414,-95.3484,48.941104,-95.344497,1074,327.4,48.933333,-95.35,1074.1499999999999,327.4,48.941,-95.335,726548,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ROX,INL,KROX,Roseau,Northwest,AWOS IIIP/T,218-463-1803,Roseau,MN,4970,75,320,48.855956,-95.695004,NA,NA,4.353491961,2.315575163,4.537468492,48.856,-95.697,48.855956,-95.695004,1059,322.8,48.85,-95.7,1059.06,322.8,48.856,-95.684,727477,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,SUW,INL,KSUW,Douglas,NA,AWOS IIIP,715-394-0283,Superior,WI,54908,83,204,46.68342,-92.092567,NA,NA,6.43896644,2.287313456,2.351936806,46.6897,-92.0947,46.68342,-92.092567,NA,NA,NA,NA,675.85304,206,46.683,-92.1,726427,NA,NA,NA
No,ILL,MPX,KILL,Kandiyohi,Central,NA,NA,Willmar,MN,NA,46,NA,NA,NA,NA,NA,108.4038117,105.2684441,103.7588294,NA,NA,45.11667,-95.08333,NA,NA,NA,NA,NA,NA,NA,NA,726576,NA,NA,NA
No,MKT,MPX,KMKT,Blue Earth,South Central,AWOS III,507-625-3726,Mankato,MN,14954,57,309,44.218412,-93.917979,44.218477,-93.917867,4.662474926,4.374039351,0.723039151,44.22165,-93.91874,44.218477,-93.917979,1020,310.9,43.216667,-93.916667,1020.01,310.9,44.221,-93.917,726585,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FRM,MPX,KFRM,Martin,South Central,AWOS III,507-238-1562,Fairmont,MN,94948,33,352,43.645467,-94.416777,43.6495,-94.41683,4.387331185,5.02040245,1.474803501,43.64394,-94.4156,43.6495,-94.416777,1161,353.9,43.65,-94.416667,1161.09,353.9,43.646,-94.417,726586,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,MML,MPX,KMML,Lyon,Southwest,AWOS III,507-532-5269,Marshall,MN,94976,58,359,44.450439,-95.821504,NA,NA,2.779881271,4.772081023,2.291457442,44.45053,-95.82186,44.450439,-95.821504,NA,NA,NA,NA,1180.12,359.7,44.45,-95.817,726559,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,OTG,MPX,KOTG,Nobles,Southwest,AWOS III,507-376-9441,Worthington,MN,94927,66,477,43.652435,-95.575821,NA,NA,3.361913258,5.370329593,2.34009826,43.65507,-95.57921,43.652435,-95.575821,1570,478.5,43.65,-95.583333,1574.1499999999999,479.8,43.655,-95.568,726587,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,SAZ,MPX,KSAZ,Wadena,Central,AWOS IIIP,218-894-3666,Staples,MN,54910,79,391,46.382289,-94.801121,NA,NA,3.729246028,2.59169684,1.96911006,46.3809,-94.8066,46.382289,-94.801121,NA,NA,NA,NA,1287.07,392.3,46.381,-94.806,727514,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ANE,MPX,KANE,Anoka,East Central,AWOS IIIP,763-780-9025,Minneapolis/Blaine,MN,94974,5,276,45.142563,-93.212739,NA,NA,5.210020557,3.423927281,0.458293195,45.145,-93.2114,45.142563,-93.212739,912,278,45.15,-93.216667,912.07352,278,45.145,-93.201,726577,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,PWC,MPX,KPWC,Cass,North Central,AWOS IIIP,218-587-3420,Pine River,MN,54915,72,394,46.724723,-94.382983,NA,NA,4.225513643,2.084069261,2.045870049,46.7248,-94.3817,46.724723,-94.382983,NA,NA,NA,NA,1295.93,395,46.717,-94.383,727508,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ULM,MPX,KULM,Brown,South Central,AWOS IIIP,507-359-1656,New Ulm Municipal Arpt,MN,4980,85,308,44.31804,-94.498005,44.322718,-94.502401,4.07721356,4.383620755,1.073688824,44.3196,-94.5023,44.322718,-94.498005,1011,308.2,44.316667,-94.5,1011.15,308.2,44.319,-94.5,726567,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,OWA,MPX,KOWA,Steele,South Central,AWOS IIIP,507-455-0642,Owatonna,MN,4961,68,344,44.119048,-93.25689,NA,NA,5.326828941,4.444661934,0.792767479,44.1234,-93.2606,44.119048,-93.25689,NA,NA,NA,NA,1146,349.3,44.123,-93.251,726568,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,MWM,MPX,KMWM,Cottonwood,Southwest,AWOS IIIP,507-831-1833,Windom,MN,4952,62,426,43.909171,-95.10741,43.9099,-95.10725,3.649691975,4.956319298,1.806380698,43.9134,-95.1094,43.9099,-95.10741,1410.1,429.8,43.916667,-95.116667,1410.1,429.8,43.913,-95.101,727506,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,BDH,MPX,KBDH,Kandiyohi,Central,AWOS IIIP/T,320-235-8287,Willmar,MN,14928,10,342,45.112371,-95.084689,45.111132,-93.125839,3.346300319,3.839318421,1.542206018,45.1183,-95.1305,45.111132,-95.084689,1131.9,345,45.116667,-95.083333,810.3674540999998,247,45.117,-95.133,720386,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2006,2017
No,HCD,MPX,KHCD,McLeod,Central,AWOS IIIP/T,320-587-3343,Hutchinson,MN,4933,42,319,44.856934,-94.383202,44.859551,-94.385537,4.07435397,3.833235396,0.818179065,44.8599,-94.3825,44.859551,-94.383202,NA,NA,NA,NA,1060.04,323.1,44.859,-94.368,726569,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,GYL,MPX,KGYL,McLeod,Central,AWOS IIIP/T,320-864-5830,Glencoe,MN,4932,41,301,44.760604,-94.086609,44.7588,-94.0905,4.382185275,3.862691345,0.529068331,44.756,-94.0812,44.7588,-94.086609,992,302.4,44.75,-94.083333,992.1260159999999,302.4,44.756,-94.068,727517,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,LJF,MPX,KLJF,Meeker,Central,AWOS IIIP/T,320-693-6456,Litchfield,MN,4941,50,347,45.094863,-94.508363,NA,NA,3.921605777,3.640013663,0.974702475,45.0971,-94.5073,45.094863,-94.508363,1140,347.5,45.15,-94.5,1140.09,347.5,45.147,-94.501,726583,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,LXL,MPX,KLXL,Morrison,Central,AWOS IIIP/T,320-632-6791,Little Falls,MN,4944,53,339,45.951074,-94.351234,45.9509,-94.3441,4.09224636,2.778909556,1.353369888,45.9497,-94.3474,45.9509,-94.351234,1122,342,45.95,-94.35,1122.05,342,45.949,-94.334,726578,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ADC,MPX,KADC,Otter Tail,Central,AWOS IIIP/T,218-631-7774,Wadena,MN,94997,2,414,46.451929,-95.209879,NA,NA,3.3548829,2.78068235,2.296371196,46.4503,-95.211,46.451929,-95.209879,NA,NA,NA,NA,1370.08,417.6,46.447,-95.201,726561,2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
No,OVL,MPX,KOVL,Renville,Central,AWOS IIIP/T,320-523-5924,Olivia,MN,4960,67,329,44.779207,-95.030304,NA,NA,3.449977206,4.11935819,1.466930598,44.7786,-95.0328,44.779207,-95.030304,NA,NA,NA,NA,1076.12,328,44.779,-95.018,722168,2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2001,2017
No,PEX,MPX,KPEX,Stearns,Central,AWOS IIIP/T,320-243-4538,Paynesville,MN,99999,69,360,45.372579,-94.745295,NA,NA,3.668996971,3.461726955,1.290971284,45.3723,-94.7466,45.372579,-94.745295,NA,NA,NA,NA,1181.1,360,45.367,-94.75,720367,2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2005,2017
No,HZX,MPX,KHZX,Aitkin,East Central,AWOS IIIP/T,218-768-2593,McGregor,MN,4997,45,373,46.616768,-93.311438,NA,NA,5.232421182,1.946629896,1.785405245,NA,NA,46.616768,-93.311438,NA,NA,NA,NA,1228.02,374.3,46.619,-93.31,720258,2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2004,2017
No,AIT,MPX,KAIT,Aitkin,East Central,AWOS IIIP/T,218-927-2101,Aitkin NDB,MN,94999,4,365,46.548965,-93.675734,NA,NA,4.862184863,2.031539203,1.703097018,46.5484,-93.6768,46.548965,-93.675734,NA,NA,NA,NA,1204.07,367,46.548,-93.668,727504,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,MZH,MPX,KMZH,Carlton,East Central,AWOS IIIP/T,218-485-5199,Moose Lake,MN,4954,63,330,46.416401,-92.804925,NA,NA,5.690160714,2.225601018,1.74157391,46.4188,-92.8047,46.416401,-92.804925,1076,328,46.416667,-92.8,1076.12,328,46.419,-92.8,727449,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,ROS,MPX,KROS,Chisago,East Central,AWOS IIIP/T,320-358-3339,Rush City,MN,4969,74,282,45.700693,-92.952319,NA,NA,5.466540974,2.895313053,1.048824035,45.698,-92.953,45.700693,-92.952319,923,281.3,45.7,92.95,922.9002919999999,281.3,45.698,-92.95,726679,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,CBG,MPX,KCBG,Isanti,East Central,AWOS IIIP/T,763-689-9562,Cambridge,MN,4909,14,288,45.55771,-93.262129,45.5628,-93.2644,5.152241951,3.0068339,0.7703065,45.5575,-93.2642,45.5628,-93.262129,945,288,45.566667,-93.266667,944.8819199999999,288,45.559,-93.251,727503,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,JMR,MPX,KJMR,Kanabec,East Central,AWOS IIIP/T,320-679-1629,Mora,MN,4940,49,306,45.884754,-93.268335,NA,NA,5.162900806,2.679858009,1.076968452,45.8861,-93.2718,45.884754,-93.268335,1012,308.5,45.883333,-93.266667,1012.14,308.5,45.886,-93.267,727475,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,AEL,MPX,KAEL,Freeborn,South Central,AWOS IIIP/T,507-377-1583,Albert Lea Mun. Arpt,MN,94968,3,381,43.682378,-93.369529,43.682285,-93.372172,5.346397669,4.879168427,1.183355512,43.6815,-93.3672,43.682285,-93.369529,1259,383.7,43.683333,-93.366667,1258.86,383.7,43.681,-93.367,726589,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FBL,MPX,KFBL,Rice,South Central,AWOS IIIP/T,507-332-2505,Faribault,MN,94969,27,318,44.329872,-93.311742,NA,NA,5.224307297,4.232473798,0.578055787,44.3247,-93.3108,44.329872,-93.311742,NA,NA,NA,NA,1056.1,321.9,44.325,-93.301,726563,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,SGS,MPX,KSGS,Dakota,Southeast,AWOS IIIP/T,651-457-8120,South St. Paul,MN,4974,80,249,44.856202,-93.034665,44.86003,-93.032021,5.411969387,3.723054207,0.530434747,44.8571,-93.0329,44.86003,-93.034665,NA,NA,NA,NA,220.14436399999997,67.1,44.857,-93.018,726603,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,LVN,MPX,KLVN,Dakota,Southeast,AWOS IIIP/T,952-469-5850,Airlake Airport,MN,4943,52,292,44.625191,-93.227284,NA,NA,5.252110954,3.939981295,0.405451319,44.6279,-93.2281,44.625191,-93.227284,NA,NA,NA,NA,959.9737840000001,292.6,44.628,-93.218,726562,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,FKA,MPX,KFKA,Fillmore,Southeast,AWOS IIIP/T,507-765-2182,Preston,MN,4927,31,389,43.676788,-92.178509,NA,NA,6.483590711,5.034656322,1.815955324,43.6768,-92.1797,43.676788,-92.178509,1276,388.9,43.683333,-92.183333,1275.92,388.9,43.677,-92.168,720283,2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2002,2017
No,ONA,MPX,KONA,Winona,Southeast,AWOS IIIP/T,507-453-2991,Winona,MN,4956,64,198,44.076186,-91.705727,44.078,-91.711577,6.847966886,4.793983101,2.013721207,44.0772,-91.7083,44.078,-91.705727,656,199.9,44.083333,-91.7,655.839895,199.9,44.077,-91.701,726588,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,MJQ,MPX,KMJQ,Jackson,Southwest,AWOS IIIP/T,507-847-5810,Jackson,MN,99999,56,439,43.649437,-94.984534,43.649584,-94.988452,3.875370439,5.161815924,1.858760166,43.65,-94.9865,43.649584,-94.984534,1446,440.7,43.65,-94.983333,1446.85,441,43.65,-94.983,726593,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,DVP,MPX,KDVP,Murray,Southwest,AWOS IIIP/T,507-836-6128,Slayton,MN,54924,21,490,43.991343,-95.782564,NA,NA,3.01075904,5.154709183,2.377754363,43.9868,-95.7826,43.991343,-95.782564,NA,NA,NA,NA,1624.02,495,43.983,-95.783,720368,2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2005,2017
No,MVE,MPX,KMVE,Chippewa,West Central,AWOS IIIP/T,320-269-5830,Montevideo,MN,4951,61,316,44.967472,-95.711585,NA,NA,2.745484859,4.274150936,2.14976915,44.9691,-95.7103,44.967472,-95.711585,1034,315.2,44.966667,-95.716667,1034.12,315.2,44.969,-95.701,726553,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,GHW,MPX,KGHW,Pope,West Central,AWOS IIIP/T,320-634-5660,Glenwood,MN,4931,38,422,45.645692,-95.318798,NA,NA,3.100400296,3.491459359,1.926027039,45.6439,-95.3204,45.645692,-95.318798,1393,424.6,45.65,-95.316667,1393.04,424.6,45.644,-95.317,726547,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,BBB,MPX,KBBB,Swift,West Central,AWOS IIIP/T,320-843-3242,Benson,MN,54904,8,315,45.330959,-95.646937,NA,NA,2.769218589,3.936092454,2.13683362,45.3319,-95.6506,45.330959,-95.646937,NA,NA,NA,NA,1039.04,316.7,45.332,-95.651,727507,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,GDB,MPX,KGDB,Yellow Medicine,West Central,AWOS IIIP/T,320-564-9388,Granite Falls,MN,4999,36,316,44.753,-95.556,NA,NA,2.942433772,4.377253197,1.993278732,44.7533,-95.556,44.753,-95.556,NA,NA,NA,NA,1387.8,423,45.65,-95.383,722033,2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2004,2017
No,RGK,MPX,KRGK,Goodhue (Pierce),Southeast,AWOS IIIP/T,715-594-3763,Red Wing,WI,4967,73,234,44.591139,-92.501052,44.592622,-92.48438,5.975145909,4.070429544,1.094915756,44.5894,-92.485,44.592622,-92.501052,780,237.7,44.583333,-92.483333,779.8556679999998,237.7,44.589,-92.483,726564,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
