site_catid,site_name,street_addr,city_name,zipcode,stateid,cntyid,siteid,horiz_datum,lat,long,horiz_method_code,horiz_accuracy,horiz_scale,elev_measure,elev_method_code,elev_datum,elev_accuracy,timezone,uarid,aqcrid,landuse,setting,census_tract,block,established,terminated
19-153-0062,"CARBON MONOXIDE, TECO, JOHNSTON FIRESTATION","6011 NW 62ND AVE., JOHNSTON",Johnston,,19,153,62,WGS84,41.673321406,-93.698276974,18,109305.56,24000,855,,UNKNOWN,0,CENTRAL,2120,92,COMMERCIAL,SUBURBAN,,,1999-07-01,2005-12-31
19-153-1579,,15795 NW 58th Street,Polk City,50226,19,153,1579,WGS84,41.8494333309377,-93.69761667,27,50,24000,0,8,NGVD29,50,CENTRAL,,92,AGRICULTURAL,RURAL,10101,1015,2017-01-01,
19-153-2001,,"9TH & MULBERRY , FIRE STATION #1",Des Moines,,19,153,2001,WGS84,41.583878305,-93.627996126,27,0,0,300,,UNKNOWN,0,CENTRAL,2120,92,COMMERCIAL,URBAN AND CENTER CITY,,,1957-01-01,
19-153-2510,"INDIAN HILLS JR HIGH, CLIVE IA, FRM R&P SEQ. SAMPLER (1),ROOF","9401 INDIAN HILLS DRIVE, CLIVE 50325",Clive,50325,19,153,2510,WGS84,41.6035166709368,-93.7479,19,50,24000,850,,UNKNOWN,0,CENTRAL,2120,92,RESIDENTIAL,SUBURBAN,1120,1017,1999-02-01,
19-153-2520,"R&P SEQ. SAMPLER, CO-LOCATED, CORE SAMPLER, ROOF TOP, SLAMS","5817 NE 3RD STREET, SAYLOR TWP 50313",Des Moines,,19,153,2520,WGS84,41.664710603,-93.614384944,18,109305.56,24000,950,,UNKNOWN,0,CENTRAL,2120,92,RESIDENTIAL,SUBURBAN,,,1999-02-01,2005-12-31
19-153-6011,ROLLINS NEAR ROAD NO2,"6011 ROLLINS AVE, DES MOINES IOWA",Des Moines,50312,19,153,6011,WGS84,41.593156,-93.701341,104,50,24000,0,8,MEAN SEA-LEVEL,286,CENTRAL,2120,92,RESIDENTIAL,URBAN AND CENTER CITY,3001,2009,2013-01-01,
19-155-0009,"COUNCIL BLUFFS, FRANKLIN SCH.",3130 C AVE. COUNCIL BLUFFS,Council Bluffs,51501,19,155,9,WGS84,41.2641709943154,-95.896124000951,27,1,20000,301,14,MEAN SEA-LEVEL,1,CENTRAL,5920,85,RESIDENTIAL,SUBURBAN,3050,3013,1999-07-01,
19-155-0010,COUNCIL BLUFFS ENERGY CENTER,2115 NAVAJO ROAD COUNCIL BLUFFS IA,Council Bluffs,,19,155,10,WGS84,41.188855,-95.838381,16,10,24000,241,5,MEAN SEA-LEVEL,10,CENTRAL,5920,85,INDUSTRIAL,RURAL,,,2004-03-18,
19-155-0011,,"8th Avenue and 27th Street Council Bluffs, IA",Council Bluffs,51501,19,155,11,WGS84,41.2542500009354,-95.887249,104,5,,298,14,MEAN SEA-LEVEL,5,CENTRAL,5920,85,COMMERCIAL,SUBURBAN,3050,2019,2009-11-01,
19-157-0005,MALCOM-CAFO,1065 OLD 6 ROAD,,,19,157,5,WGS84,41.732317954,-92.583251425,18,3,24000,976,14,MEAN SEA-LEVEL,3,CENTRAL,0,92,AGRICULTURAL,RURAL,,,2003-04-01,2004-06-16
19-161-0005,SAC CITY-CAFO,2875 OTTER AVE. SAC CITY,Sac City,,19,161,5,WGS84,42.376283,-95.075769,18,10,25000,398,14,MEAN SEA-LEVEL,2,CENTRAL,0,90,AGRICULTURAL,RURAL,,,2004-06-01,
19-163-0013,"DAVENPORT, WORLD OF OZ",405 S. FARRAGUT DAVENPORT,Davenport,,19,163,13,WGS84,41.516421158,-90.619027143,27,109305.56,24000,212,,UNKNOWN,0,CENTRAL,1960,69,INDUSTRIAL,URBAN AND CENTER CITY,,,1997-12-16,2001-06-19
19-163-0014,SCOTT COUNTY PARK,SCOTT COUNTY PARK,Davenport,52748,19,163,14,WGS84,41.6991742378824,-90.5219436580942,27,1,24000,229,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,AGRICULTURAL,RURAL,1020,1033,1999-05-11,
19-163-0015,"DAVENPORT, JEFFERSON SCH.",10TH ST. & VINE ST. DAVENPORT,Davenport,52804,19,163,15,WGS84,41.5300106207475,-90.5876108140407,27,1,0,213,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,RESIDENTIAL,URBAN AND CENTER CITY,1080,1001,1982-03-01,
19-163-0017,"BUFFALO, LW MINING",11100 110TH AVE. DAVENPORT,Buffalo,52804,19,163,17,WGS84,41.4672357582913,-90.6884513764932,27,1,0,196,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,INDUSTRIAL,RURAL,1040,9059,1989-04-17,
19-163-0018,"DAVENPORT, ADAMS SCH.",3029 N DIVISION ST. DAVENPORT,Davenport,52804,19,163,18,WGS84,41.5500050009366,-90.600115,27,1,20000,194,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,RESIDENTIAL,SUBURBAN,11900,2007,1999-07-01,
19-163-0019,"DAVENPORT, BH FOUNDRY",300 WELLMAN ST. DAVENPORT,Davenport,52802,19,163,19,WGS84,41.5177718443579,-90.6187550400249,27,1,24000,178,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,INDUSTRIAL,URBAN AND CENTER CITY,1220,1011,2001-07-01,
19-163-0020,Hayes School,"622 South Concord Street, Davenport IA 52802-2014",Davenport,52802,19,163,20,WGS84,41.5120770009364,-90.624044,104,10,1024,177,14,MEAN SEA-LEVEL,10,CENTRAL,1960,69,RESIDENTIAL,URBAN AND CENTER CITY,12200,2017,2010-01-01,
19-163-2011,"ARGO, HIGHWAY MAINTENANCE",HWY Z-30 1.5 MILES N OF ARGO,,,19,163,2011,WGS84,41.64753224,-90.430965395,27,1,0,232,14,MEAN SEA-LEVEL,1,CENTRAL,1960,69,AGRICULTURAL,RURAL,,,1978-07-27,
19-167-0003,SIOUX CENTER-CAFO,INTERSECTION OF K30 & B40,Sioux Center,,19,167,3,WGS84,43.087371539,-96.234430729,18,3,24000,1390,14,MEAN SEA-LEVEL,3,CENTRAL,7720,86,AGRICULTURAL,RURAL,,,2003-03-01,2004-04-22
19-167-0004,NEWKIRK-CAFO,4020 KINGBIRD AVE. NEWKIRK,,,19,167,4,WGS84,43.0673,-95.9777,18,10,25000,436,14,MEAN SEA-LEVEL,2,CENTRAL,0,86,AGRICULTURAL,RURAL,,,2004-07-06,
19-169-0011,SLATER CITY HALL,105 GREENE STREET-CITY HALL,Slater,50244,19,169,11,WGS84,41.8828666709378,-93.6878,19,50,24000,0,,UNKNOWN,0,CENTRAL,,92,AGRICULTURAL,URBAN AND CENTER CITY,1010,1003,1997-04-01,2016-12-31
19-169-2530,"R&P PM2.5 FRM, AMES MEEKER ELEMENTARY RES. SAMPLER","300 20TH STREET, AMES, IOWA",Ames,,19,169,2530,WGS84,42.041374904,-93.614106674,18,109305.56,24000,990,,UNKNOWN,0,CENTRAL,,92,RESIDENTIAL,URBAN AND CENTER CITY,,,1999-02-01,2002-12-31
19-169-5501,Roland-Story High School,1009 Story St,Story City,50248,19,169,5501,WGS84,42.1883200009389,-93.58883,104,10,1,0,8,NAVD88,10,CENTRAL,,92,COMMERCIAL,URBAN AND CENTER CITY,1060,3027,2009-06-23,
19-171-0007,,"349 Meskwaki Rd., Tama, IA 52339-9629",,52339,19,171,7,WGS84,41.9873055009382,-92.65225,104,10,,265,14,MEAN SEA-LEVEL,10,CENTRAL,,92,RESIDENTIAL,RURAL,99050,1021,2010-04-01,
19-177-0005,LAKE SUGEMA STATE PARK I,LAKE SUGEMA STATE PARK,,,19,177,5,WGS84,40.689195765,-91.994618072,27,109305.56,24000,0,,UNKNOWN,0,CENTRAL,0,91,FOREST,RURAL,,,1999-12-08,2004-11-08
19-177-0006,LAKE SUGEMA STATE PARK II,24430 LACEY TRAIL,,52542,19,177,6,WGS84,40.695078,-92.006318,18,10,24000,207,14,MEAN SEA-LEVEL,10,CENTRAL,,91,FOREST,RURAL,950200,3036,2002-01-01,
19-177-9000,,LAKE SUGEMA IMPROVE SITE,,52542,19,177,9000,WGS84,40.6932000009328,-92.0059,12,5,10000,229,8,MEAN SEA-LEVEL,5,CENTRAL,,91,FOREST,RURAL,95020,3036,2004-01-01,
19-177-9901,,Unavailable,,,19,177,9901,WGS84,40.716698637,-91.950172355,5,2e3,24000,228.66,,UNKNOWN,1e5,CENTRAL,,91,AGRICULTURAL,RURAL,,,2003-11-01,2006-12-31
19-181-0022,GRAVEL ROAD IN LAKE AQUABI STATE PARK,"1650 118TH AVENUE, INDIANOLA",,50125,19,181,22,WGS84,41.2855333009355,-93.58398333,19,50,24000,0,,UNKNOWN,0,CENTRAL,,92,AGRICULTURAL,URBAN AND CENTER CITY,2110,2013,1997-04-01,2017-06-14
19-193-0017,"SIOUX CITY, LOWELL SCH.",27TH AT MORGAN SIOUX CITY,Sioux City,51104,19,193,17,WGS84,42.5179684888806,-96.3879030280578,27,1,0,351,14,MEAN SEA-LEVEL,1,CENTRAL,7720,86,RESIDENTIAL,SUBURBAN,110,1004,1980-05-01,
19-193-0018,"SERGEANT BLUFFS, LUTON SCH.",708 WARRIOR ROAD SOUX CITY,Sioux City,,19,193,18,WGS84,42.399437334,-96.356139392,27,1,24000,332,14,MEAN SEA-LEVEL,1,CENTRAL,7720,86,RESIDENTIAL,URBAN AND CENTER CITY,,,2001-06-01,2003-01-01
19-193-0019,Bryant Elementary,821 30th St.,Sioux City,51104,19,193,19,WGS84,42.52235483313,-96.4002104047865,27,1,,389,14,MEAN SEA-LEVEL,1,CENTRAL,7720,86,RESIDENTIAL,URBAN AND CENTER CITY,30,2010,2009-01-01,
19-193-0020,,"1221 260th st, Sergeant Bluff IA 51054",,51054,19,193,20,WGS84,42.3294890645899,-96.3685130182369,104,3,24000,3,14,MEAN SEA-LEVEL,3,CENTRAL,,86,INDUSTRIAL,RURAL,3500,2013,2012-07-01,2017-06-30
19-193-0021,Irving Elementry School,"901 Floyd Blvd, Sioux City, IA 511105",Sioux City,51105,19,193,21,WGS84,42.4998443259973,-96.3947548868099,27,1,24000,358,14,MEAN SEA-LEVEL,1,CENTRAL,7720,86,RESIDENTIAL,URBAN AND CENTER CITY,,,2016-01-01,
19-197-0004,CLARION-CAFO,2446 QUINCY AVE. CLARION,Clarion,50525,19,197,4,WGS84,42.6953913235817,-93.6559762602512,18,1,25000,419,14,MEAN SEA-LEVEL,1,CENTRAL,,89,AGRICULTURAL,RURAL,98030,3049,2002-03-28,
19-197-0005,BELMOND-CAFO I,2531 110TH ST. RURAL AREA,,50421,19,197,5,WGS84,42.893976,-93.669693,18,10,24000,369,14,MEAN SEA-LEVEL,3,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2003-10-11,2004-06-17
19-197-0006,GOLDFIELD-CAFO,1721 DAVIS AVE. RURAL AREA,,50542,19,197,6,WGS84,42.802258,-93.912332,18,10,24000,349,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2003-11-11,
19-197-0007,BELMOND-CAFO II,1141 PAGE AVE. BELMOND,Belmond,,19,197,7,WGS84,42.886,-93.6758,18,10,25000,373,14,MEAN SEA-LEVEL,2,CENTRAL,0,89,AGRICULTURAL,RURAL,,,2004-06-22,
27-003-0600,Fridley High School,6000 W. Moore Lake Rd.,Fridley,55432,27,3,600,WGS84,45.0769400009432,-93.2541,7,0.03,10000,278,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,5120,2001,1996-12-17,2008-03-31
27-003-1001,Cedar Creek,2660 Fawn Rd.,East Bethel,55005,27,3,1001,WGS84,45.4018400009431,-93.20306,27,0,0,280,,UNKNOWN,0,CENTRAL,5120,131,FOREST,RURAL,5010,2012,1979-05-01,
27-003-1002,Anoka County Airport,9399 Lima St,Blaine,55449,27,3,1002,WGS84,45.1376795361548,-93.207614975211,27,0,0,280,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,SUBURBAN,50813,1002,1979-05-01,
27-137-1018,,INLAND #1,,,27,137,1018,WGS84,47.50075957,-92.515461327,27,0,0,0,,UNKNOWN,0,CENTRAL,0,129,UNKNOWN,UNKNOWN,,,1984-01-01,
27-003-6020,Federal Cartridge,900 Ehlen Dr,Anoka,55448,27,3,6020,WGS84,45.198083,-93.370916,103,5,,278,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,INDUSTRIAL,SUBURBAN,5050,1001,2010-01-01,
